timestamp,scenario,location,repeat,nA,nB,ipA,ipB,portA,portB,files,status,error,total_time_sec,total_bytes,avg_rate_mbps,iperfA_ok,iperfA_bps_sent,iperfA_bps_recv,iperfB_ok,iperfB_bps_sent,iperfB_bps_recv,out_dir
2026-01-11T17:10:24,S2,near,1,1,5,192.168.1.242,192.168.1.52,5050,5050,160,OK,,129.4658599999966,1117836144,69.07372454792511,,,,,,,downloads\S2_near_nA1_nB5_rep1
2026-01-11T17:12:20,S2,near,1,1,4,192.168.1.242,192.168.1.52,5050,5050,160,OK,,115.3891794999945,1117836144,77.50024041032744,,,,,,,downloads\S2_near_nA1_nB4_rep1
2026-01-11T17:14:03,S2,near,1,1,3,192.168.1.242,192.168.1.52,5050,5050,160,OK,,102.91085809998913,1117836144,86.89743062205547,,,,,,,downloads\S2_near_nA1_nB3_rep1
2026-01-11T17:15:55,S2,near,1,1,2,192.168.1.242,192.168.1.52,5050,5050,160,OK,,112.11741330000223,1117836144,79.76182190425028,,,,,,,downloads\S2_near_nA1_nB2_rep1
2026-01-11T17:17:45,S2,near,1,1,1,192.168.1.242,192.168.1.52,5050,5050,160,OK,,110.43792160000885,1117836144,80.97480487172881,,,,,,,downloads\S2_near_nA1_nB1_rep1
2026-01-11T17:19:18,S2,near,1,2,1,192.168.1.242,192.168.1.52,5050,5050,160,OK,,92.71389340001042,1117836144,96.45468250823123,,,,,,,downloads\S2_near_nA2_nB1_rep1
2026-01-11T17:20:31,S2,near,1,3,1,192.168.1.242,192.168.1.52,5050,5050,160,OK,,73.37673980000545,1117836144,121.87362339038312,,,,,,,downloads\S2_near_nA3_nB1_rep1
2026-01-11T17:21:39,S2,near,1,4,1,192.168.1.242,192.168.1.52,5050,5050,160,OK,,67.33392239999375,1117836144,132.8110532292536,,,,,,,downloads\S2_near_nA4_nB1_rep1
2026-01-11T17:22:30,S2,near,1,5,1,192.168.1.242,192.168.1.52,5050,5050,160,OK,,51.67194569998537,1117836144,173.0666231134883,,,,,,,downloads\S2_near_nA5_nB1_rep1
2026-01-11T18:07:12,S2,mid,1,1,5,192.168.1.242,192.168.1.52,5050,5050,160,OK,,95.53418210000382,1117836144,93.60721948337738,,,,,,,downloads\S2_mid_nA1_nB5_rep1
2026-01-11T18:09:12,S2,mid,1,1,4,192.168.1.242,192.168.1.52,5050,5050,160,OK,,120.65340069998638,1117836144,74.11883212671857,,,,,,,downloads\S2_mid_nA1_nB4_rep1
2026-01-11T18:10:40,S2,mid,1,1,3,192.168.1.242,192.168.1.52,5050,5050,160,OK,,87.74218339999788,1117836144,101.92006632923857,,,,,,,downloads\S2_mid_nA1_nB3_rep1
2026-01-11T18:12:01,S2,mid,1,1,2,192.168.1.242,192.168.1.52,5050,5050,160,OK,,80.65781820000848,1117836144,110.87194461204828,,,,,,,downloads\S2_mid_nA1_nB2_rep1
2026-01-11T18:13:26,S2,mid,1,1,1,192.168.1.242,192.168.1.52,5050,5050,160,OK,,85.4897634999943,1117836144,104.60537947330498,,,,,,,downloads\S2_mid_nA1_nB1_rep1
2026-01-11T18:14:32,S2,mid,1,2,1,192.168.1.242,192.168.1.52,5050,5050,160,OK,,65.83313169999747,1117836144,135.83873227772247,,,,,,,downloads\S2_mid_nA2_nB1_rep1
2026-01-11T18:15:35,S2,mid,1,3,1,192.168.1.242,192.168.1.52,5050,5050,160,OK,,62.73956139999791,1117836144,142.53668582388747,,,,,,,downloads\S2_mid_nA3_nB1_rep1
2026-01-11T18:16:31,S2,mid,1,4,1,192.168.1.242,192.168.1.52,5050,5050,160,OK,,55.935142799979076,1117836144,159.87604043451813,,,,,,,downloads\S2_mid_nA4_nB1_rep1
2026-01-11T18:17:18,S2,mid,1,5,1,192.168.1.242,192.168.1.52,5050,5050,160,OK,,47.18199929999537,1117836144,189.5360367232441,,,,,,,downloads\S2_mid_nA5_nB1_rep1
2026-01-11T18:27:58,S2,far,1,1,5,192.168.1.242,192.168.1.52,5050,5050,160,OK,,125.98851949998061,1117836144,70.98019079429992,,,,,,,downloads\S2_far_nA1_nB5_rep1
2026-01-11T18:30:16,S2,far,1,1,4,192.168.1.242,192.168.1.52,5050,5050,160,OK,,137.19992579999962,1117836144,65.17998533786397,,,,,,,downloads\S2_far_nA1_nB4_rep1
